ID;System;Conc (mol/L);T (K);PCO2 (kPa);aCO2 (mol CO2/mol amine);Reference;DOI
0;1A2P;2.7;313.15;0.8;0.488;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
1;1A2P;2.7;313.15;95;0.66;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
2;1A2P;2.7;313.15;309.9;0.761;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
3;1A2P;2.7;313.15;809.7;0.879;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
4;1A2P;2.7;313.15;1388.8;0.967;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
5;1A2P;2.7;313.15;2143.4;1.114;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
6;1A2P;2.7;393.15;54;0.34;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
7;1A2P;2.7;393.15;180.6;0.443;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
8;1A2P;2.7;393.15;429.2;0.512;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
9;1A2P;2.7;393.15;782.7;0.564;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
10;1A2P;2.7;393.15;1172.7;0.605;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
11;1A2P;2.7;393.15;1625.6;0.634;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
12;1A2P;2.7;393.15;1958.5;0.653;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
13;1A2P;2.7;393.15;2262.4;0.664;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
14;1A2P;4;313.15;2.1;0.501;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
15;1A2P;4;313.15;140.1;0.647;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
16;1A2P;4;313.15;423.5;0.736;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
17;1A2P;4;313.15;825.6;0.806;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
18;1A2P;4;313.15;1268.3;0.859;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
19;1A2P;4;313.15;1777.7;0.909;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
20;1A2P;4;313.15;2251.6;0.948;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
21;1A2P;4;393.15;28.7;0.248;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
22;1A2P;4;393.15;120.2;0.368;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
23;1A2P;4;393.15;228.4;0.434;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
24;1A2P;4;393.15;499.4;0.479;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
25;1A2P;4;393.15;838;0.51;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
26;1A2P;4;393.15;1134.3;0.531;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
27;1A2P;4;393.15;1470.8;0.55;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
28;1A2P;4;393.15;1980.6;0.566;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
29;1A2P;4;393.15;2348.9;0.577;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
30;1A2P;5.3;313.15;0.9;0.298;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
31;1A2P;5.3;313.15;3.4;0.416;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
32;1A2P;5.3;313.15;74.6;0.545;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
33;1A2P;5.3;313.15;301;0.63;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
34;1A2P;5.3;313.15;630.7;0.683;Rebolledo-Morales et al (2011);https://doi.org/10.1016/j.jct.2010.12.008
