Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.056143342556668,2.2899224943760667e-11,0.000301162498395068,6.463874403218521e-08,0.00030122716003832514
2,0.05111627671605264,0.0,0.0,0.0,0.0
3,0.03387069269280198,1.8511978177386877e-13,0.0,1.9126545318040148e-10,1.9145057296217534e-10
4,0.022065356859124044,0.0,0.0,4.260046083949303e-10,4.260046083949303e-10
5,0.018547513968193194,1.037143096035783e-12,5.187599065284433e-06,8.278449152728767e-10,5.188427947342803e-06
6,0.01606265565669033,4.761067540497502e-12,1.7517447755925398e-06,9.824366623595496e-09,1.7615739032836759e-06
7,0.014335999671946948,7.596356915748291e-12,6.1145377640181865e-06,7.62759786876532e-08,6.1908213390627555e-06
8,0.0128396391789888,9.547473749627305e-11,1.0108113502324868e-05,3.691268470805853e-07,1.0477335824142949e-05
9,0.01155116927193504,2.508112914895754e-10,3.147468508909076e-05,2.0175944079357386e-06,3.349253030831799e-05
10,0.010012808491961218,2.2087483293686954e-09,4.593185130484714e-06,1.1085516227447837e-06,5.703945501558867e-06
11,0.008761101349873441,4.365139299722959e-09,5.633403885290135e-06,6.2751431633025714e-06,1.1912912187892428e-05
12,0.009156377592556914,1.6712889409056686e-09,2.864079363905171e-06,2.4169662917578553e-06,5.282716944603933e-06
13,0.008358515923659146,1.4291929488755013e-09,3.379104851227332e-06,1.0736982913349694e-05,1.4117516957525902e-05
14,0.008044180817718447,1.199918553403731e-09,3.8867099430692125e-06,6.989203956348885e-06,1.0877113817971501e-05
15,0.008003710434627784,6.94717575189972e-10,4.637839534997758e-05,9.082272180048079e-06,5.546136224760084e-05
16,0.007485260901657838,1.8386012150210308e-09,3.0327835456845256e-07,1.0177803232481905e-05,1.0482920188265379e-05
17,0.006954850402700019,1.0124743114455855e-09,4.180523198983223e-07,5.313331143768523e-06,5.73239593797829e-06
18,0.007354639001636648,8.089308000556278e-10,2.9270264344007366e-07,9.917069972849494e-06,1.0210581547089624e-05
19,0.0065844913478940725,1.4009342375183141e-09,2.3813245342775873e-06,7.553902792724685e-06,9.93662826123979e-06
20,0.007510275393068581,6.743017084547035e-10,6.8532828860384e-07,5.726824394385805e-06,6.4128269846980994e-06
21,0.006923545745503105,1.4039254385786184e-09,8.403150184249758e-07,5.911483674507321e-06,6.753202618370875e-06
22,0.005969563876213112,3.812201799986057e-09,2.125773400657703e-06,1.1403176449475396e-05,1.3532762051933085e-05
23,0.006423078641347902,2.7171953854005938e-09,2.5689757082512503e-08,7.67989519843255e-06,7.708302150900464e-06
24,0.005829540438766421,1.8492955395575932e-09,3.9624869012977903e-07,8.124836402258873e-06,8.522934387928209e-06
25,0.005554857880244373,7.1313438795199e-10,1.3402310292024459e-05,6.131960861411734e-06,1.9534984287824145e-05
26,0.0056659967989437805,3.9067560358533486e-09,1.5235848796068201e-06,1.0419616042265235e-05,1.1947107677907909e-05
27,0.005601623125085739,2.8258899441811666e-09,1.1266403509644052e-09,3.7890781439692686e-06,3.793030674264414e-06
28,0.005697966054816481,2.8605583429717857e-09,4.3526432576564374e-07,9.955881957346344e-06,1.039400684145496e-05
29,0.005757062882840843,2.3153334637696725e-10,1.8748711799744878e-07,1.0452183026108184e-05,1.063990167745201e-05
30,0.005976573865808231,1.8792728316947192e-09,2.2721359017493764e-07,5.524061123480171e-06,5.753153986486803e-06
31,0.00546965723312919,1.5892602459000655e-09,7.290784689531813e-07,9.61126840363726e-06,1.0341936132836342e-05
32,0.0052366084976672705,1.7794409273903281e-09,8.931823881238536e-08,7.656295571913955e-06,7.747393251653731e-06
33,0.005029569573464318,1.4601326682402044e-09,1.8356864995808377e-06,6.405954144218627e-06,8.243100776467706e-06
34,0.005066788588112718,2.5743900334431953e-09,5.174319647143081e-07,8.8999407910217e-06,9.41994714576945e-06
35,0.004643111389694394,3.7851298240541555e-09,7.888564111152027e-07,5.9662912758692885e-06,6.758932816808545e-06
36,0.004494353663176298,1.5778650854882419e-09,3.33789718481984e-07,1.1975038675867227e-05,1.2310406259434699e-05
