Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.0518465132747845,7.338952940044808e-13,6.295616482167799e-05,6.628879437274572e-07,6.361905349930075e-05
2,0.03247305842843361,6.83680102710923e-15,7.666857166784883e-07,5.171096495001544e-07,1.2837953730154437e-06
3,0.021209884378150468,0.0,0.0,1.1409050233060652e-05,1.1409050233060652e-05
4,0.018650590896424724,0.0,1.6363985881086423e-07,4.2062461130916666e-05,4.222610098972753e-05
5,0.016306137217481326,2.4670967051735955e-12,9.809594444427666e-07,3.096294985871385e-05,3.194391177025332e-05
6,0.01272448393084654,1.363161217659649e-10,1.4399806065299674e-05,1.898968343967678e-05,3.338962582109822e-05
7,0.012653413700030708,7.129563226329917e-10,6.25891991820511e-06,2.2420365626275996e-05,2.867999850080374e-05
8,0.01350037617574832,1.9253794510489424e-09,1.6984487029477617e-06,4.1047083107687096e-05,4.274745719008591e-05
9,0.010432234476888326,2.1680951487969023e-09,0.00010293767984298483,1.5639937027476167e-05,0.00011857978496560978
10,0.010341221960715768,3.3759255999217084e-09,3.572889864802089e-05,1.807004887060211e-05,5.380232344422293e-05
11,0.010362801107964137,5.199819388699231e-10,5.643745090959694e-07,1.1274374060391212e-05,1.1839268551426051e-05
12,0.009644907467612407,9.318743883856167e-10,1.20817274484124e-06,3.316803385134891e-05,3.4377138470578536e-05
13,0.010085801406559057,2.489967591968356e-09,8.131065247059367e-05,1.6882086680688643e-05,9.819522911887428e-05
14,0.008784780858039128,1.1735566894845986e-09,4.037620258741822e-06,5.473875794289562e-05,5.8777551758326924e-05
15,0.00827407594997345,3.5721864618219263e-09,4.960040096961716e-06,2.9030723917210324e-05,3.399433620063386e-05
16,0.009626478763160909,3.737082291094917e-09,2.949337471564309e-06,3.730499651365188e-05,4.025807106750728e-05
17,0.007936621647010126,3.6761378410190336e-09,6.857854203424171e-06,7.10056650402036e-06,1.3962096845285551e-05
18,0.00887743272341606,4.7558981874850885e-09,1.8392768506077934e-06,4.016682479328628e-05,4.201085754208156e-05
19,0.0078026940222693285,3.213864776434681e-09,2.983257842906038e-05,3.6838870212122666e-05,6.667466250595948e-05
20,0.007435023793155645,3.2849256689549744e-09,2.4788340135664032e-06,1.9990017355161965e-05,2.2472136294397322e-05
21,0.0075495839686837134,3.640896250977038e-09,8.739283302659959e-06,3.179889387388307e-05,4.0541818072794006e-05
22,0.006403105696890413,6.603414205012848e-09,3.848819017034697e-06,3.0894252454105864e-05,3.4749674885345575e-05
23,0.008274057726716487,4.0082612142543625e-09,4.755519659849519e-05,1.9846708652058807e-05,6.740591351176825e-05
24,0.007057649515024046,9.207575665089687e-10,0.00018572896359127326,1.109430211099309e-05,0.00019682418645983286
25,0.006753774195137184,4.311491523588267e-09,1.109658561241703e-06,2.5940327792388714e-05,2.7054297845154006e-05
26,0.006754448978094066,4.9213810108621236e-09,1.3380155267405389e-05,1.5679048349111048e-05,2.90641249975273e-05
27,0.006140343206026024,5.3880961451803015e-09,6.6195134770910785e-06,2.2607481468824132e-05,2.9232383042060392e-05
28,0.006140971275205474,4.056156582199743e-09,4.679141929070967e-06,3.161827044360919e-05,3.630146852926236e-05
29,0.005698269639141494,4.299903406555965e-09,4.68809157761746e-06,1.942245767866317e-05,2.4114849159687183e-05
30,0.005921852600295097,4.054212021091814e-09,3.778808826862915e-06,8.25818040688614e-06,1.2041043445770148e-05
