Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.05206492068473159,4.266625993341292e-12,1.879956994688371e-05,1.3364716778756227e-08,1.8812938930288457e-05
2,0.03732585089235771,2.7423088761764144e-12,9.874495099875664e-06,3.1996973307165924e-08,9.906494815491705e-06
3,0.0221820685830785,2.6948660191401608e-12,1.0003969387230539e-05,1.7762621753070917e-06,1.178023425740365e-05
4,0.015877351391969656,1.7548736595003026e-09,1.575134818199246e-05,1.1092573975723328e-05,2.684567703137529e-05
5,0.015459893589339605,4.654281438899844e-09,1.3330486332584714e-06,7.312139273718373e-06,8.649842188415745e-06
6,0.012307861950475632,8.731748984249253e-09,3.616804500753453e-05,2.04553160949859e-05,5.663209285150468e-05
7,0.012306993997587664,2.1230071205139526e-08,4.633274430363097e-05,1.996541014295714e-05,6.631938451779326e-05
8,0.010842174848132744,4.85706230125997e-08,5.4672479865941e-06,3.287879439914192e-05,3.839461300874862e-05
9,0.010730359328501835,2.4486866846585254e-08,7.085591971090308e-06,3.869831018063986e-05,4.580838901857676e-05
10,0.00924794536606386,4.185935032724306e-08,1.706080625565903e-05,2.8796217396328515e-05,4.589888300231479e-05
11,0.009660821720367162,1.855972426675015e-08,2.0775918781919056e-05,4.055174003890471e-05,6.134621854509052e-05
12,0.009598286691825927,1.3440918567681279e-08,6.387805789348634e-06,2.7277669931367434e-05,3.367891663928375e-05
13,0.009660290412195936,2.3469813182951435e-08,1.7521154421614046e-05,4.143729811633842e-05,5.898192235113542e-05
14,0.010059860265223174,1.2447301707121336e-08,6.286020799933095e-07,2.1979698351388034e-05,2.2620747733088466e-05
15,0.009585118568615943,9.11489944273275e-09,0.00017126348192022132,3.942744609885753e-05,0.00021070004291852157
16,0.00907798315875414,1.4516602091653135e-08,1.5661955571014252e-08,5.7916872674245766e-05,5.794705123190843e-05
17,0.00829662307642582,2.5791395244365345e-08,2.0604997974983205e-06,1.2945602805656181e-05,1.5031893998398867e-05
18,0.008298181812278926,1.638741940229505e-08,4.126123767524807e-06,2.345477864295333e-05,2.7597289829880433e-05
19,0.007641406942772247,2.3097805216920837e-08,1.2748963037386918e-06,1.8312256117489054e-05,1.9610250226444667e-05
20,0.008146814743579343,1.88889975458178e-08,5.220500156957815e-05,2.1401535256567022e-05,7.362542582369099e-05
21,0.008110384340398014,2.6587910261219515e-08,0.0,2.434471382746375e-05,2.437130173772497e-05
22,0.008083623274592909,4.1371867703410863e-08,3.1563132568027388e-09,1.929712743004337e-05,1.9341655611003583e-05
23,0.0071166793719252075,2.7915659412681318e-08,1.5608855700858624e-05,4.861477441489111e-05,6.425154577516241e-05
24,0.007528475758324309,3.840991005979716e-08,3.9936389962385005e-06,1.7378758141489653e-05,2.141080704778795e-05
25,0.006890856269065563,3.5266275822010255e-08,4.108771371880064e-07,4.520136819382884e-05,4.564751160683886e-05
26,0.006365490762130698,3.764554786139614e-08,0.0,2.2412145617154177e-05,2.2449791165015572e-05
27,0.007195108226591312,1.7384911421241593e-08,7.84244061555021e-09,1.0672916473519217e-05,1.0698143825556008e-05
28,0.009206140317340813,1.3291942705715772e-08,3.5308270200690877e-06,2.0198238514149785e-05,2.374235747692459e-05
29,0.007295980166484852,2.1696176151578072e-08,3.4681489213233622e-06,1.6241277531142957e-05,1.9731122628617897e-05
30,0.007340951621100851,1.8493497572092788e-08,3.389821852584284e-05,4.8586169170425225e-05,8.250288119384015e-05
31,0.006528644603904246,5.4545024060452084e-08,1.1726722547840056e-05,1.4806408651094463e-05,2.6587676222994973e-05
32,0.006345567202604398,3.677992120639852e-08,7.016081122738856e-07,3.002322928288719e-05,3.076161731636747e-05
33,0.007879161596775236,1.9330134073155957e-08,2.0907904654990578e-07,4.680309616223963e-05,4.703150534286269e-05
34,0.00642621817305775,2.7944416042229382e-08,4.1388574332023994e-05,4.1944273425744445e-05,8.336079217381067e-05
35,0.00625799156770837,2.6705456418449876e-08,0.0,1.3825861544896672e-05,1.3852567001315122e-05
36,0.005531029894993436,3.117553208582086e-08,1.2373715499458423e-06,3.8651657734825006e-05,3.992020481685667e-05
