Epoch,Train Loss,Validation Loss,Test Loss,Test R2,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3)
1,0.05388031287549345,0.05327169632073492,0.058966898105361244,0.024532854557037354,0.05369980398613911,0.0,5.2078672265531024e-11,0.00018050883727565887
2,0.04725997894935372,0.02944088669028133,0.03194813667373224,0.4816613793373108,0.04725896107492509,0.0,0.0,1.017874428633475e-06
3,0.026161169196607995,0.018842753022909164,0.020168001763522625,0.6585242748260498,0.026159098916142792,0.0,0.0,2.070280465199924e-06
4,0.02094067994370282,0.020865858939941972,0.023215841501951218,0.5706090331077576,0.02092906658525591,0.0,6.024640995558101e-13,1.1613357844449284e-05
5,0.019971876706045513,0.013682332762982696,0.015248432247476145,0.7302733063697815,0.01997166266060108,0.0,0.0,2.1404544443682935e-07
6,0.015922050014070047,0.01251102882088162,0.01547009972008792,0.7106419801712036,0.015908806693631334,1.1000555842495766e-12,1.6809618316225333e-11,1.3243302529038464e-05
7,0.014472018164710455,0.010170141147682443,0.011914340948516672,0.7888655066490173,0.014452534582611028,2.932154829462923e-10,1.657558896770717e-13,1.9483288718187497e-05
8,0.013313617003830948,0.009134297768468969,0.012983851007778536,0.7598859071731567,0.01331273355073743,3.867750469572882e-10,6.1145400179997085e-12,8.83060203928861e-07
9,0.012302750210947584,0.014908828365150839,0.018020869232714176,0.6944610476493835,0.012282881244726769,1.5070717706886308e-09,1.6343290839397708e-10,1.986729571613678e-05
10,0.011132979582124251,0.008500038966303691,0.011680455116385763,0.7822059988975525,0.011123888899100485,3.3443228935852925e-09,2.3541122438601465e-12,9.087336346761455e-06
11,0.011210850117989881,0.0075140806438867,0.010038829112256115,0.8263841867446899,0.011177878125340908,6.062063882158223e-09,2.7987247552106727e-12,3.2965927786366526e-05
12,0.009697183848112575,0.007700997943175025,0.009256058414890007,0.8366785645484924,0.00966376747161924,1.609923748439821e-08,4.298580985315118e-11,3.3400234270043e-05
13,0.009625666149395844,0.006939386599697173,0.008710905253379182,0.8468121886253357,0.009604609117831116,1.4273942673138715e-08,1.9861680504377893e-11,2.1042737760374062e-05
14,0.009252772862796592,0.009863506216788664,0.010341623586348513,0.8189134001731873,0.009246849046729795,2.1089404710715287e-08,1.9694510614912477e-12,5.902724692637159e-06
15,0.010165782358329996,0.006438696989789605,0.007758756633847952,0.8664587736129761,0.010130984980806515,1.3527907489371043e-08,0.0,3.4783849615992396e-05
16,0.010311003174097723,0.007026356644928455,0.008578300476074219,0.853386402130127,0.010205738615341388,8.568338913897298e-09,1.5735632880774075e-12,0.00010525598884385838
17,0.008987692143022984,0.00706190662458539,0.008216497467153451,0.8546488881111145,0.00895980283218835,1.3902947574513345e-08,1.711964074658768e-12,2.7875406175093613e-05
18,0.00844555886198256,0.011668547318549827,0.014170782259580765,0.7268011569976807,0.008445470769248613,1.7740510139813378e-08,7.440902499139778e-13,7.035147971481016e-08
19,0.008126643162341816,0.006253797502722591,0.007504802768711339,0.8666204810142517,0.008111682348558075,1.5609430076874168e-08,6.0778937512804875e-12,1.4945198275770382e-05
20,0.0077049645529249,0.007521388994064182,0.008770974225957285,0.8489262461662292,0.007665341713937459,8.962824802633994e-09,4.583159912246811e-12,3.96138715794789e-05
21,0.007868292642021546,0.0056993461039382964,0.006717307302592831,0.8821015357971191,0.007855694223945211,7.132816182197537e-09,2.6631154199703887e-13,1.2591284993842514e-05
