Epoch,Main Loss,gradP Loss (s1),gradT Loss (s2),gradC Loss (s3),Physics Loss Sum
1,0.05421884832057086,3.09264664132941e-13,1.704822615048687e-13,7.701836037517141e-07,7.701840834986397e-07
2,0.04216638630764051,0.0,0.0,0.0,0.0
3,0.024045997069447073,0.0,1.1796945065586648e-12,1.5216154636715352e-06,1.5216166433660418e-06
4,0.020378808188554528,0.0,0.0,3.901853366047441e-06,3.901853366047441e-06
5,0.01802119417962703,0.0,2.89337562408733e-14,1.5098448339293034e-05,1.509844836822679e-05
6,0.015530964734589125,4.3711094783088554e-13,1.1060931196205611e-13,3.0119535635503287e-06,3.0119541112705883e-06
7,0.014043124942955646,2.4710205949159166e-12,1.973204124852425e-12,1.2697912290197146e-05,1.2697916734421865e-05
8,0.012229074113216106,4.028794319224003e-10,0.0,4.957784946067119e-05,4.9578252340103117e-05
9,0.010537831566308612,3.050380666128136e-09,4.494243037399316e-12,2.737154688037405e-06,2.7402095629465705e-06
10,0.009420006281950256,2.9370049999127395e-09,6.970826732834009e-12,9.388748334166819e-06,9.391692309993464e-06
11,0.010279626742779435,5.8663916454351055e-09,7.735701354101115e-11,2.0981083150809167e-06,2.1040520637398928e-06
12,0.009391827025003248,3.4794020585064463e-09,4.082340204883941e-12,7.558951552865256e-06,7.562435037263967e-06
13,0.008123103843687416,7.341636214316625e-09,7.826116649033997e-10,1.2377581515940361e-05,1.2385705763819581e-05
14,0.0083032032480923,1.2356476467332649e-08,9.805857539636911e-11,1.4037917518967696e-05,1.4050372054010426e-05
15,0.007980714337416477,1.1875833057095683e-08,1.3755366658517891e-11,1.2466505289298331e-06,1.2585401173535874e-06
16,0.007386689177145819,6.715033585302724e-09,3.117999916570764e-10,1.1314859335385005e-05,1.1321886168961964e-05
17,0.008200408721512014,5.980745586570572e-09,2.56939671579621e-10,7.884893662923285e-05,7.8855174314491e-05
18,0.007773009488697757,4.302123940095493e-09,1.8209026898935505e-12,1.117868819871124e-05,1.1182992143554025e-05
19,0.00686136942489871,3.280389344295164e-09,1.1679779486201512e-11,2.112113223735619e-05,2.1124424306479972e-05
20,0.007748725278266742,6.76726861534463e-09,1.4239319571081933e-10,0.0002190569646862366,0.00021906387434804766
21,0.009993778720086851,2.6688244395110687e-09,2.961318165922274e-10,2.820772971444542e-06,2.823737927700645e-06
22,0.00756260377125113,2.872052801530593e-08,1.4239974341679571e-09,2.141759416125682e-06,2.171903941575156e-06
23,0.007470859260020124,7.756754119120375e-09,2.2986175031542867e-09,1.1029479749685242e-05,1.1039535121307518e-05
24,0.006692251743893925,1.619994178111695e-08,9.567782462441996e-10,2.270714106088994e-05,2.27242977809173e-05
25,0.006889507371037231,1.0527097984617364e-08,2.1665146691201095e-09,1.9684246468934336e-05,1.9696940081588074e-05
26,0.006554436174451144,1.698062047221272e-08,1.5470616815550394e-09,9.642157598235787e-06,9.660685280389555e-06
27,0.006262994658613167,1.6528650388745887e-08,4.411109449609044e-09,1.368847840597998e-05,1.3709418165818335e-05
28,0.0063940208441541566,1.453809404412783e-08,3.6927646887901172e-09,1.3306160751239662e-06,1.3488469338568842e-06
29,0.006632514984359021,1.040385906315251e-08,5.12325638245856e-10,4.471609114086597e-05,4.4727007325567365e-05
30,0.006075484729553392,8.032395012762706e-09,1.961654112715274e-09,2.757915334737962e-05,2.7589147396505096e-05
31,0.005724304104707651,1.1890717109209992e-08,4.5522960948541624e-09,5.760708872993901e-06,5.777151886197965e-06
32,0.006031956015662713,8.722497668115362e-09,8.450240881606785e-10,0.00010393332978858004,0.00010394289731033632
33,0.0056597266872352985,6.783703307193678e-09,2.4212353286249185e-10,7.2261570517058754e-06,7.233182878545932e-06
34,0.005871061707375112,9.157651570060672e-09,6.46655228990861e-10,8.593504937316718e-06,8.603309244115769e-06
35,0.005448434795192503,9.92840309774631e-09,1.8160748285925546e-09,2.183664754831424e-05,2.184839202624058e-05
36,0.005455073652571285,6.8509491967319475e-09,6.487562721745598e-09,2.5460833084210036e-05,2.5474171596128512e-05
37,0.005398309804716861,8.710274279919052e-09,3.2207095933214227e-09,5.917925683176556e-06,5.9298566670497964e-06
38,0.005948642803984996,4.507541986065658e-09,3.917556101923332e-09,3.5936289809645315e-06,3.6020540790525205e-06
